id,ruta_fichero,informe
200933969999,E:/data/vid/20091205/10069999.avi,M30/-31/20091205175543130
201133069998,E:/data/vid/20111126/10069998.avi,M30/-12/20111126031137450
201110869997,E:/data/vid/20110418/10069997.avi,M30/-25/20110418123336260
201012969996,E:/data/vid/20100509/10069996.avi,M40/+28/20100509161646690
201031569995,E:/data/vid/20101111/10069995.avi,M45/+15/20101111192106620
200915469994,E:/data/vid/20090603/10069994.avi,A1/+122/20090603094927790
201015369993,E:/data/vid/20100602/10069993.avi,A1/+217/20100602103816070
201026769992,E:/data/vid/20100924/10069992.avi,M50/+11/20100924102551070
200918369991,E:/data/vid/20090702/10069991.avi,A3/-92/20090702112418790
201134169990,E:/data/vid/20111207/10069990.avi,A6/-11/20111207214340190
201033169989,E:/data/vid/20101127/10069989.avi,M45/+31/20101127221832620
201116869988,E:/data/vid/20110617/10069988.avi,M50/+11/20110617105944380
200916069987,E:/data/vid/20090609/10069987.avi,M45/-20/20090609114553010
201020169986,E:/data/vid/20100720/10069986.avi,A3/+123/20100720124424290
201126269985,E:/data/vid/20110919/10069985.avi,A6/+237/20110919185141320
201203069984,E:/data/vid/20120130/10069984.avi,M40/-49/20120130012715090
201115569983,E:/data/vid/20110604/10069983.avi,M40/-43/20110604164820080
201026469982,E:/data/vid/20100921/10069982.avi,M30/+11/20100921094323400
201109569981,E:/data/vid/20110405/10069981.avi,A1/-160/20110405073838140
201030869980,E:/data/vid/20101104/10069980.avi,A1/-232/20101104033404260
201122969979,E:/data/vid/20110817/10069979.avi,M50/+11/20110817183733540
200918969978,E:/data/vid/20090708/10069978.avi,A4/+132/20090708052205230
200927769977,E:/data/vid/20091004/10069977.avi,M30/-30/20091004144530770
201018769976,E:/data/vid/20100706/10069976.avi,M30/+32/20100706152322330
201111469975,E:/data/vid/20110424/10069975.avi,A3/-206/20110424100343050
200903769974,E:/data/vid/20090206/10069974.avi,A5/+268/20090206194004000
200826369973,E:/data/vid/20080919/10069973.avi,M40/-60/20080919153520000
200914769972,E:/data/vid/20090527/10069972.avi,M45/-20/20090527204526000
200918969971,E:/data/vid/20090708/10069971.avi,M30/+11/20090708050340000
200823969970,E:/data/vid/20080826/10069970.avi,A3/-10/20080826073030000
200806969969,E:/data/vid/20080309/10069969.avi,M40/+23/20080309025923000
200809569968,E:/data/vid/20080404/10069968.avi,M30/+11/20080404050610000
200913469967,E:/data/vid/20090514/10069967.avi,M50/+15/20090514155417000
200906769966,E:/data/vid/20090308/10069966.avi,M45/+23/20090308214437000
200821769965,E:/data/vid/20080804/10069965.avi,A3/-127/20080804185026000
201735769964,E:/data/vid/20171223/10069964.avi,M45/+15/20171223094951000
200927869963,E:/data/vid/20091005/10069963.avi,M30/+11/20091005153040000
200933469962,E:/data/vid/20091130/10069962.avi,M40/+33/20091130152508000
200825769961,E:/data/vid/20080913/10069961.avi,A2/+10/20080913175752000
200806169960,E:/data/vid/20080301/10069960.avi,A2/-242/20080301182952000
200932769959,E:/data/vid/20091123/10069959.avi,A5/-100/20091123051843000
200909469958,E:/data/vid/20090404/10069958.avi,M45/+28/20090404040542000
201726169957,E:/data/vid/20170918/10069957.avi,A1/-268/20170918013217000
200832969956,E:/data/vid/20081124/10069956.avi,A3/-206/20081124015411000
200919969955,E:/data/vid/20090718/10069955.avi,M40/+29/20090718043546000
200805069954,E:/data/vid/20080219/10069954.avi,A6/+234/20080219021404000
200908669953,E:/data/vid/20090327/10069953.avi,M50/+66/20090327135714000
200835269952,E:/data/vid/20081217/10069952.avi,A1/-160/20081217230757000
201718769951,E:/data/vid/20170706/10069951.avi,M50/-80/20170706041515000
200922169950,E:/data/vid/20090809/10069950.avi,A5/-54/20090809235603000
200828969949,E:/data/vid/20081015/10069949.avi,A1/+242/20081015160445000
200802569948,E:/data/vid/20080125/10069948.avi,M30/+14/20080125205010000
200812069947,E:/data/vid/20080429/10069947.avi,M30/+11/20080429093109000
200818869946,E:/data/vid/20080706/10069946.avi,A6/-11/20080706025329000
200808369945,E:/data/vid/20080323/10069945.avi,A6/+237/20080323043851000
201735869944,E:/data/vid/20171224/10069944.avi,A6/+234/20171224134234000
201800169943,E:/data/vid/20180101/10069943.avi,M30/+32/20180101080954000
200814269942,E:/data/vid/20080521/10069942.avi,A5/+274/20080521153745000
200816669941,E:/data/vid/20080614/10069941.avi,M45/-20/20080614163752000
200907269940,E:/data/vid/20090313/10069940.avi,M30/-26/20090313164202000
201715169939,E:/data/vid/20170531/10069939.avi,A1/-271/20170531171734000
200910669938,E:/data/vid/20090416/10069938.avi,A3/+204/20090416111030000
200821069937,E:/data/vid/20080728/10069937.avi,M40/+42/20080728194801000
200917169936,E:/data/vid/20090620/10069936.avi,A1/-298/20090620190838000
201732469935,E:/data/vid/20171120/10069935.avi,M30/+10/20171120214841000
200825269934,E:/data/vid/20080908/10069934.avi,A5/+236/20080908071344000
200919569933,E:/data/vid/20090714/10069933.avi,A2/-242/20090714002253000
201718969932,E:/data/vid/20170708/10069932.avi,A4/+54/20170708201302000
200926069931,E:/data/vid/20090917/10069931.avi,A2/-242/20090917205448000
200807569930,E:/data/vid/20080315/10069930.avi,A6/-60/20080315155338000
200902469929,E:/data/vid/20090124/10069929.avi,M40/+56/20090124105036000
200928769928,E:/data/vid/20091014/10069928.avi,M45/-20/20091014101815000
201719269927,E:/data/vid/20170711/10069927.avi,A5/+268/20170711221305000
201001669926,E:/data/vid/20100116/10069926.avi,M40/+33/20100116151752000
201317169925,E:/data/vid/20130620/10069925.avi,A1/+131/20130620032154000
201228269924,E:/data/vid/20121008/10069924.avi,M50/-50/20121008150637000
201222169923,E:/data/vid/20120808/10069923.avi,A5/+268/20120808114831000
201233869922,E:/data/vid/20121203/10069922.avi,M30/-12/20121203043145000
201322469921,E:/data/vid/20130812/10069921.avi,A4/-285/20130812125148000
201127869920,E:/data/vid/20111005/10069920.avi,A4/-203/20111005083926000
201313369919,E:/data/vid/20130513/10069919.avi,A4/-233/20130513204805000
201117069918,E:/data/vid/20110619/10069918.avi,A1/-298/20110619220610000
201234869917,E:/data/vid/20121213/10069917.avi,M50/-15/20121213151609000
201311869916,E:/data/vid/20130428/10069916.avi,A6/+38/20130428110459000
201015369915,E:/data/vid/20100602/10069915.avi,M30/-23/20100602080354430
